cat,cat_lab,count,percentage,measure,n_responses,school_lab,school_group,school_group_lab,measure_lab
"[0, 1, nan]","['Male', 'Female', 'No data']","[12, 14, 4]","[40.0, 46.666666666666664, 13.333333333333334]",gender,30.0,School A,1,Your school,Gender
"[7, 8, 9, 10, 11, nan]","['Year 7', 'Year 8', 'Year 9', 'Year 10', 'Year 11', 'No data']",NULL,NULL,year_group,NULL,School A,1,Your school,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[13, 17, 0]","[43.333333333333336, 56.666666666666664, 0.0]",fsm,30.0,School A,1,Your school,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[14, 13, 3]","[46.666666666666664, 43.333333333333336, 10.0]",sen,30.0,School A,1,Your school,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[19, nan, nan]","[63.33333333333333, nan, nan]",ethnicity,19.0,School A,1,Your school,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']",NULL,NULL,english_additional,NULL,School A,1,Your school,English as an additional language
"[0, 1, nan]","['Male', 'Female', 'No data']",NULL,NULL,gender,NULL,School A,0,Other schools,Gender
"[7, 8, 9, 10, 11, nan]","['Year 7', 'Year 8', 'Year 9', 'Year 10', 'Year 11', 'No data']",NULL,NULL,year_group,NULL,School A,0,Other schools,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[14, 16, 0]","[46.666666666666664, 53.333333333333336, 0.0]",fsm,30.0,School A,0,Other schools,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']",NULL,NULL,sen,NULL,School A,0,Other schools,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[15, 10, 5]","[50.0, 33.33333333333333, 16.666666666666664]",ethnicity,30.0,School A,0,Other schools,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[13, 15, 2]","[43.333333333333336, 50.0, 6.666666666666667]",english_additional,30.0,School A,0,Other schools,English as an additional language
"[0, 1, nan]","['Male', 'Female', 'No data']",NULL,NULL,gender,NULL,School B,1,Your school,Gender
"[7, 8, 9, 10, 11, nan]","['Year 7', 'Year 8', 'Year 9', 'Year 10', 'Year 11', 'No data']",NULL,NULL,year_group,NULL,School B,1,Your school,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[14, 16, 0]","[46.666666666666664, 53.333333333333336, 0.0]",fsm,30.0,School B,1,Your school,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']",NULL,NULL,sen,NULL,School B,1,Your school,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[15, 10, 5]","[50.0, 33.33333333333333, 16.666666666666664]",ethnicity,30.0,School B,1,Your school,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[13, 15, 2]","[43.333333333333336, 50.0, 6.666666666666667]",english_additional,30.0,School B,1,Your school,English as an additional language
"[0, 1, nan]","['Male', 'Female', 'No data']","[12, 14, 4]","[40.0, 46.666666666666664, 13.333333333333334]",gender,30.0,School B,0,Other schools,Gender
"[7, 8, 9, 10, 11, nan]","['Year 7', 'Year 8', 'Year 9', 'Year 10', 'Year 11', 'No data']",NULL,NULL,year_group,NULL,School B,0,Other schools,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[13, 17, 0]","[43.333333333333336, 56.666666666666664, 0.0]",fsm,30.0,School B,0,Other schools,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[14, 13, 3]","[46.666666666666664, 43.333333333333336, 10.0]",sen,30.0,School B,0,Other schools,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[19, nan, nan]","[63.33333333333333, nan, nan]",ethnicity,19.0,School B,0,Other schools,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']",NULL,NULL,english_additional,NULL,School B,0,Other schools,English as an additional language
