cat,cat_lab,count,percentage,measure,n_responses,school_lab,year_group_lab,gender_lab,fsm_lab,measure_lab
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[9, 3, 13, 5]","[30.0, 10.0, 43.333333333333336, 16.666666666666664]",symbol_family,30.0,School A,All,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[9, 13, 8, 0]","[30.0, 43.333333333333336, 26.666666666666668, 0.0]",symbol_home,30.0,School A,All,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[6, 10, 11, 3]","[20.0, 33.33333333333333, 36.666666666666664, 10.0]",symbol_friends,30.0,School A,All,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[9, 5, 14, 2]","[30.0, 16.666666666666664, 46.666666666666664, 6.666666666666667]",symbol_choice,30.0,School A,All,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[7, 10, 6, 7]","[23.333333333333332, 33.33333333333333, 20.0, 23.333333333333332]",symbol_things,30.0,School A,All,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[11, 11, 8, 0]","[36.666666666666664, 36.666666666666664, 26.666666666666668, 0.0]",symbol_health,30.0,School A,All,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[6, 18, 5, 1]","[20.0, 60.0, 16.666666666666664, 3.3333333333333335]",symbol_future,30.0,School A,All,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[5, 8, 11, 6]","[16.666666666666664, 26.666666666666668, 36.666666666666664, 20.0]",symbol_school,30.0,School A,All,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[9, 11, 6, 4]","[30.0, 36.666666666666664, 20.0, 13.333333333333334]",symbol_free,30.0,School A,All,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[9, 10, 9, 2]","[30.0, 33.33333333333333, 30.0, 6.666666666666667]",symbol_life,30.0,School A,All,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_family,NULL,School A,Year 7,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_home,NULL,School A,Year 7,All,All,How do you feel about your home?
