cat,cat_lab,count,percentage,measure,n_responses,school_lab,school_group,school_group_lab,measure_lab
"[0, 1, nan]","['Male', 'Female', 'No data']","[11, 14, 5]","[36.666666666666664, 46.666666666666664, 16.666666666666664]",gender,30.0,School A,1,Your school,Gender
"[7, 8, 9, 10, 11, nan]","['Year 7', 'Year 8', 'Year 9', 'Year 10', 'Year 11', 'No data']",NULL,NULL,year_group,NULL,School A,1,Your school,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[13, 17, 0]","[43.333333333333336, 56.666666666666664, 0.0]",fsm,30.0,School A,1,Your school,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[12, 10, 8]","[40.0, 33.33333333333333, 26.666666666666668]",sen,30.0,School A,1,Your school,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[16, 11, 3]","[53.333333333333336, 36.666666666666664, 10.0]",ethnicity,30.0,School A,1,Your school,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[10, 19, 1]","[33.33333333333333, 63.33333333333333, 3.3333333333333335]",english_additional,30.0,School A,1,Your school,English as an additional language
"[0, 1, nan]","['Male', 'Female', 'No data']",NULL,NULL,gender,NULL,School A,0,Other schools,Gender
"[7, 8, 9, 10, 11, nan]","['Year 7', 'Year 8', 'Year 9', 'Year 10', 'Year 11', 'No data']",NULL,NULL,year_group,NULL,School A,0,Other schools,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[14, 16, 0]","[46.666666666666664, 53.333333333333336, 0.0]",fsm,30.0,School A,0,Other schools,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[11, 19, 0]","[36.666666666666664, 63.33333333333333, 0.0]",sen,30.0,School A,0,Other schools,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[14, 12, 4]","[46.666666666666664, 40.0, 13.333333333333334]",ethnicity,30.0,School A,0,Other schools,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[13, 13, 4]","[43.333333333333336, 43.333333333333336, 13.333333333333334]",english_additional,30.0,School A,0,Other schools,English as an additional language
"[0, 1, nan]","['Male', 'Female', 'No data']",NULL,NULL,gender,NULL,School B,1,Your school,Gender
"[7, 8, 9, 10, 11, nan]","['Year 7', 'Year 8', 'Year 9', 'Year 10', 'Year 11', 'No data']",NULL,NULL,year_group,NULL,School B,1,Your school,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[14, 16, 0]","[46.666666666666664, 53.333333333333336, 0.0]",fsm,30.0,School B,1,Your school,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[11, 19, 0]","[36.666666666666664, 63.33333333333333, 0.0]",sen,30.0,School B,1,Your school,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[14, 12, 4]","[46.666666666666664, 40.0, 13.333333333333334]",ethnicity,30.0,School B,1,Your school,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[13, 13, 4]","[43.333333333333336, 43.333333333333336, 13.333333333333334]",english_additional,30.0,School B,1,Your school,English as an additional language
"[0, 1, nan]","['Male', 'Female', 'No data']","[11, 14, 5]","[36.666666666666664, 46.666666666666664, 16.666666666666664]",gender,30.0,School B,0,Other schools,Gender
"[7, 8, 9, 10, 11, nan]","['Year 7', 'Year 8', 'Year 9', 'Year 10', 'Year 11', 'No data']",NULL,NULL,year_group,NULL,School B,0,Other schools,Year group
"[0, 1, nan]","['Non-FSM', 'FSM', 'No data']","[13, 17, 0]","[43.333333333333336, 56.666666666666664, 0.0]",fsm,30.0,School B,0,Other schools,Free school meals
"[0, 1, nan]","['Non-SEN', 'SEN', 'No data']","[12, 10, 8]","[40.0, 33.33333333333333, 26.666666666666668]",sen,30.0,School B,0,Other schools,Special educational needs
"[1, 2, nan]","['Ethnic minority', 'White British', 'No data']","[16, 11, 3]","[53.333333333333336, 36.666666666666664, 10.0]",ethnicity,30.0,School B,0,Other schools,Ethnicity
"[0, 1, nan]","['No', 'Yes', 'No data']","[10, 19, 1]","[33.33333333333333, 63.33333333333333, 3.3333333333333335]",english_additional,30.0,School B,0,Other schools,English as an additional language
