cat,cat_lab,count,percentage,measure,n_responses,school_lab,year_group_lab,gender_lab,fsm_lab,measure_lab
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[8, 6, 13, 3]","[26.666666666666668, 20.0, 43.333333333333336, 10.0]",symbol_family,30.0,School A,All,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[9, 13, 8, 0]","[30.0, 43.333333333333336, 26.666666666666668, 0.0]",symbol_home,30.0,School A,All,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[6, 9, 13, 2]","[20.0, 30.0, 43.333333333333336, 6.666666666666667]",symbol_friends,30.0,School A,All,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[10, 5, 11, 4]","[33.33333333333333, 16.666666666666664, 36.666666666666664, 13.333333333333334]",symbol_choice,30.0,School A,All,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[9, 8, 9, 4]","[30.0, 26.666666666666668, 30.0, 13.333333333333334]",symbol_things,30.0,School A,All,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[11, 11, 8, 0]","[36.666666666666664, 36.666666666666664, 26.666666666666668, 0.0]",symbol_health,30.0,School A,All,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[7, 17, 5, 1]","[23.333333333333332, 56.666666666666664, 16.666666666666664, 3.3333333333333335]",symbol_future,30.0,School A,All,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[7, 9, 10, 4]","[23.333333333333332, 30.0, 33.33333333333333, 13.333333333333334]",symbol_school,30.0,School A,All,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[9, 9, 7, 5]","[30.0, 30.0, 23.333333333333332, 16.666666666666664]",symbol_free,30.0,School A,All,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[10, 9, 8, 3]","[33.33333333333333, 30.0, 26.666666666666668, 10.0]",symbol_life,30.0,School A,All,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_family,NULL,School A,Year 7,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_home,NULL,School A,Year 7,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_friends,NULL,School A,Year 7,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_choice,NULL,School A,Year 7,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_things,NULL,School A,Year 7,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_health,NULL,School A,Year 7,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_future,NULL,School A,Year 7,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_school,NULL,School A,Year 7,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_free,NULL,School A,Year 7,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_life,NULL,School A,Year 7,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 4, 4, 1]","[30.76923076923077, 30.76923076923077, 30.76923076923077, 7.6923076923076925]",symbol_family,13.0,School A,Year 8,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 6, 3, 0]","[30.76923076923077, 46.15384615384615, 23.076923076923077, 0.0]",symbol_home,13.0,School A,Year 8,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 3, 6, 1]","[23.076923076923077, 23.076923076923077, 46.15384615384615, 7.6923076923076925]",symbol_friends,13.0,School A,Year 8,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 1, 5, 4]","[23.076923076923077, 7.6923076923076925, 38.46153846153847, 30.76923076923077]",symbol_choice,13.0,School A,Year 8,All,All,How do you feel about how much choice you have in life?
