count,school_lab,year_group_lab,gender_lab,fsm_lab
30.0,School A,All,All,All
NULL,School A,Year 7,All,All
13.0,School A,Year 8,All,All
NULL,School A,Year 9,All,All
NULL,School A,Year 10,All,All
NULL,School A,Year 11,All,All
NULL,School A,All,Girl,All
NULL,School A,All,Boy,All
17.0,School A,All,All,FSM
13.0,School A,All,All,Non-FSM
30.0,School B,All,All,All
NULL,School B,Year 7,All,All
NULL,School B,Year 8,All,All
11.0,School B,Year 9,All,All
NULL,School B,Year 10,All,All
NULL,School B,Year 11,All,All
NULL,School B,All,Girl,All
NULL,School B,All,Boy,All
16.0,School B,All,All,FSM
14.0,School B,All,All,Non-FSM
