symbol_family,symbol_home,symbol_friends,symbol_choice,symbol_things,symbol_health,symbol_future,symbol_school,symbol_free,symbol_life,gender,year_group,fsm,sen,ethnicity,english_additional,school,symbol_family_lab,symbol_home_lab,symbol_friends_lab,symbol_choice_lab,symbol_things_lab,symbol_health_lab,symbol_future_lab,symbol_school_lab,symbol_free_lab,symbol_life_lab,gender_lab,year_group_lab,fsm_lab,sen_lab,ethnicity_lab,english_additional_lab,school_lab
2.0,2,1.0,1.0,3.0,1,1.0,2.0,2.0,3.0,0.0,11.0,1,1.0,1.0,1.0,2,Ok,Ok,Happy,Happy,Sad,Happy,Happy,Ok,Ok,Sad,Male,Year 11,FSM,SEN,Ethnic minority,Yes,School B
,1,1.0,2.0,2.0,3,2.0,,2.0,1.0,1.0,10.0,0,0.0,1.0,1.0,1,,Happy,Happy,Ok,Ok,Sad,Ok,,Ok,Happy,Female,Year 10,Non-FSM,Non-SEN,Ethnic minority,Yes,School A
,1,2.0,2.0,2.0,1,2.0,2.0,1.0,1.0,1.0,11.0,1,0.0,2.0,1.0,2,,Happy,Ok,Ok,Ok,Happy,Ok,Ok,Happy,Happy,Female,Year 11,FSM,Non-SEN,White British,Yes,School B
,2,3.0,,2.0,1,2.0,1.0,2.0,3.0,1.0,11.0,0,1.0,2.0,1.0,2,,Ok,Sad,,Ok,Happy,Ok,Happy,Ok,Sad,Female,Year 11,Non-FSM,SEN,White British,Yes,School B
3.0,1,2.0,2.0,2.0,2,1.0,2.0,2.0,1.0,1.0,10.0,1,0.0,2.0,0.0,2,Sad,Happy,Ok,Ok,Ok,Ok,Happy,Ok,Ok,Happy,Female,Year 10,FSM,Non-SEN,White British,No,School B
3.0,1,2.0,2.0,2.0,3,2.0,1.0,1.0,,1.0,11.0,1,0.0,1.0,1.0,1,Sad,Happy,Ok,Ok,Ok,Sad,Ok,Happy,Happy,,Female,Year 11,FSM,Non-SEN,Ethnic minority,Yes,School A
2.0,2,3.0,2.0,1.0,2,2.0,3.0,3.0,1.0,0.0,10.0,0,1.0,2.0,1.0,2,Ok,Ok,Sad,Ok,Happy,Ok,Ok,Sad,Sad,Happy,Male,Year 10,Non-FSM,SEN,White British,Yes,School B
1.0,1,,2.0,3.0,3,3.0,1.0,2.0,2.0,1.0,9.0,0,1.0,1.0,0.0,2,Happy,Happy,,Ok,Sad,Sad,Sad,Happy,Ok,Ok,Female,Year 9,Non-FSM,SEN,Ethnic minority,No,School B
2.0,2,3.0,,3.0,2,2.0,2.0,3.0,1.0,0.0,8.0,1,0.0,,1.0,1,Ok,Ok,Sad,,Sad,Ok,Ok,Ok,Sad,Happy,Male,Year 8,FSM,Non-SEN,,Yes,School A
1.0,3,,3.0,2.0,2,1.0,3.0,3.0,1.0,0.0,9.0,1,1.0,2.0,1.0,2,Happy,Sad,,Sad,Ok,Ok,Happy,Sad,Sad,Happy,Male,Year 9,FSM,SEN,White British,Yes,School B
