symbol_family,symbol_home,symbol_friends,symbol_choice,symbol_things,symbol_health,symbol_future,symbol_school,symbol_free,symbol_life,gender,year_group,fsm,sen,ethnicity,english_additional,school,symbol_family_lab,symbol_home_lab,symbol_friends_lab,symbol_choice_lab,symbol_things_lab,symbol_health_lab,symbol_future_lab,symbol_school_lab,symbol_free_lab,symbol_life_lab,gender_lab,year_group_lab,fsm_lab,sen_lab,ethnicity_lab,english_additional_lab,school_lab
2.0,2,1.0,1.0,,1,1.0,2.0,2.0,3.0,,11.0,1,1.0,1.0,1.0,2,Ok,Ok,Happy,Happy,,Happy,Happy,Ok,Ok,Sad,,Year 11,FSM,SEN,Ethnic minority,Yes,School B
2.0,1,1.0,2.0,2.0,3,2.0,3.0,2.0,1.0,,10.0,0,,1.0,1.0,1,Ok,Happy,Happy,Ok,Ok,Sad,Ok,Sad,Ok,Happy,,Year 10,Non-FSM,,Ethnic minority,Yes,School A
2.0,1,2.0,2.0,2.0,1,2.0,2.0,1.0,1.0,,11.0,1,0.0,2.0,1.0,2,Ok,Happy,Ok,Ok,Ok,Happy,Ok,Ok,Happy,Happy,,Year 11,FSM,Non-SEN,White British,Yes,School B
1.0,2,3.0,3.0,2.0,1,2.0,1.0,,3.0,1.0,11.0,0,1.0,,1.0,2,Happy,Ok,Sad,Sad,Ok,Happy,Ok,Happy,,Sad,Female,Year 11,Non-FSM,SEN,,Yes,School B
3.0,1,,2.0,2.0,2,,2.0,,1.0,1.0,10.0,1,,2.0,0.0,2,Sad,Happy,,Ok,Ok,Ok,,Ok,,Happy,Female,Year 10,FSM,,White British,No,School B
3.0,1,2.0,2.0,,3,2.0,,1.0,3.0,1.0,11.0,1,0.0,1.0,1.0,1,Sad,Happy,Ok,Ok,,Sad,Ok,,Happy,Sad,Female,Year 11,FSM,Non-SEN,Ethnic minority,Yes,School A
2.0,2,3.0,2.0,1.0,2,2.0,3.0,3.0,,0.0,10.0,0,,2.0,1.0,2,Ok,Ok,Sad,Ok,Happy,Ok,Ok,Sad,Sad,,Male,Year 10,Non-FSM,,White British,Yes,School B
1.0,1,2.0,2.0,3.0,3,3.0,1.0,2.0,2.0,1.0,9.0,0,1.0,1.0,0.0,2,Happy,Happy,Ok,Ok,Sad,Sad,Sad,Happy,Ok,Ok,Female,Year 9,Non-FSM,SEN,Ethnic minority,No,School B
,2,3.0,3.0,3.0,2,2.0,2.0,3.0,1.0,0.0,8.0,1,0.0,1.0,,1,,Ok,Sad,Sad,Sad,Ok,Ok,Ok,Sad,Happy,Male,Year 8,FSM,Non-SEN,Ethnic minority,,School A
1.0,3,3.0,3.0,2.0,2,1.0,3.0,3.0,1.0,0.0,9.0,1,1.0,2.0,1.0,2,Happy,Sad,Sad,Sad,Ok,Ok,Happy,Sad,Sad,Happy,Male,Year 9,FSM,SEN,White British,Yes,School B
1.0,3,2.0,3.0,3.0,2,1.0,3.0,1.0,1.0,,10.0,0,,1.0,0.0,2,Happy,Sad,Ok,Sad,Sad,Ok,Happy,Sad,Happy,Happy,,Year 10,Non-FSM,,Ethnic minority,No,School B
3.0,2,3.0,2.0,3.0,1,1.0,2.0,3.0,3.0,,8.0,1,1.0,,0.0,1,Sad,Ok,Sad,Ok,Sad,Happy,Happy,Ok,Sad,Sad,,Year 8,FSM,SEN,,No,School A
3.0,2,3.0,3.0,,1,2.0,,2.0,2.0,0.0,9.0,0,1.0,1.0,1.0,1,Sad,Ok,Sad,Sad,,Happy,Ok,,Ok,Ok,Male,Year 9,Non-FSM,SEN,Ethnic minority,Yes,School A
1.0,2,,3.0,,3,,3.0,3.0,2.0,0.0,9.0,1,0.0,2.0,1.0,1,Happy,Ok,,Sad,,Sad,,Sad,Sad,Ok,Male,Year 9,FSM,Non-SEN,White British,Yes,School A
3.0,1,1.0,3.0,3.0,3,1.0,3.0,1.0,2.0,,9.0,1,1.0,1.0,1.0,2,Sad,Happy,Happy,Sad,Sad,Sad,Happy,Sad,Happy,Ok,,Year 9,FSM,SEN,Ethnic minority,Yes,School B
2.0,3,3.0,3.0,2.0,1,2.0,3.0,3.0,3.0,0.0,8.0,1,1.0,1.0,1.0,1,Ok,Sad,Sad,Sad,Ok,Happy,Ok,Sad,Sad,Sad,Male,Year 8,FSM,SEN,Ethnic minority,Yes,School A
,1,3.0,1.0,2.0,2,1.0,,2.0,1.0,1.0,8.0,1,1.0,1.0,0.0,1,,Happy,Sad,Happy,Ok,Ok,Happy,,Ok,Happy,Female,Year 8,FSM,SEN,Ethnic minority,No,School A
1.0,1,3.0,3.0,2.0,2,1.0,1.0,1.0,1.0,1.0,10.0,1,0.0,1.0,1.0,1,Happy,Happy,Sad,Sad,Ok,Ok,Happy,Happy,Happy,Happy,Female,Year 10,FSM,Non-SEN,Ethnic minority,Yes,School A
3.0,1,,3.0,,2,1.0,3.0,2.0,1.0,0.0,8.0,0,1.0,1.0,1.0,1,Sad,Happy,,Sad,,Ok,Happy,Sad,Ok,Happy,Male,Year 8,Non-FSM,SEN,Ethnic minority,Yes,School A
2.0,2,1.0,1.0,2.0,2,3.0,3.0,3.0,2.0,,7.0,1,0.0,1.0,1.0,2,Ok,Ok,Happy,Happy,Ok,Ok,Sad,Sad,Sad,Ok,,Year 7,FSM,Non-SEN,Ethnic minority,Yes,School B
3.0,2,3.0,,1.0,1,3.0,2.0,1.0,2.0,,11.0,1,1.0,,0.0,1,Sad,Ok,Sad,,Happy,Happy,Sad,Ok,Happy,Ok,,Year 11,FSM,SEN,,No,School A
2.0,2,1.0,1.0,3.0,2,3.0,2.0,2.0,1.0,1.0,8.0,1,,2.0,1.0,1,Ok,Ok,Happy,Happy,Sad,Ok,Sad,Ok,Ok,Happy,Female,Year 8,FSM,,White British,Yes,School A
1.0,3,2.0,3.0,1.0,3,2.0,3.0,1.0,2.0,1.0,10.0,0,1.0,2.0,1.0,1,Happy,Sad,Ok,Sad,Happy,Sad,Ok,Sad,Happy,Ok,Female,Year 10,Non-FSM,SEN,White British,Yes,School A
